gene	symbol
NPY	Chromaffin
NTRK1	Chromaffin
P2RY1	Chromaffin
SLC12A2	Chromaffin
CHGA	Chromaffin
PLAT	Chromaffin
SEC14L3	Ciliated
CCDC153	Ciliated
Ciliated	cells
FAM161A	Ciliated
TMEM212	Ciliated
USMG5	Ciliated
CCDC181	Ciliated
Ciliated	cells
FOXJ1	Ciliated
CCDC17	Ciliated
CCDC39	Ciliated
Ciliated	cells
ODF3B	Ciliated
CYP2S1	Ciliated
LRRC23	Ciliated
SCGB1A1	Ciliated
APPL2	Ciliated
TUBB4B	Ciliated
SYT2	Clara
CYP2E1	Clara
SCGB1A1	Clara
FOXM1	Clara
Clara	cells
CTSE	Clara
MUC5B	Clara
SCGB3A2	Clara
SFTPC	Clara
MUC1	Clara
CYP4B1	Clara
ALDH1A1	Clara
BPIFA1	Clara
SCGB3A1	Clara
MUC4	Clara
AHR	Clara
MMP28	Clara
LEPR	Clara
ERN1	Clara
SFTPA1	Clara
CARM1	Clara
Clara	cells
RAB3D	Clara
SFTPD	Clara
KCNE3	Crypt
KCNQ1	Crypt
OLFM4	Crypt
PROM1	Crypt
LGR5	Crypt
EPHB2	Crypt
ASCL2	Crypt
BMI1	Crypt
HOPX	Crypt
LRIG1	Crypt
TERT	Crypt
MSI1	Crypt
SMOC2	Crypt
TNFRSF19	Crypt
SLC12A2	Crypt
AXIN2	Crypt
XCL1	Decidual
IGFBP1	Decidual
Decidual	cells
CTSW	Decidual
Decidual	cells
TRDC	Decidual
KLRC1	Decidual
PRL	Decidual
CST7	Decidual
AREG	Decidual
PDX1	Delta
FFAR4	Delta
SST	Delta
PCSK9	Delta
RBP4	Delta
PAX4	Delta
RESP18	Delta
HHEX	Delta
ISL1	Delta
SCGN	Delta
KCNK16	Delta
IAPP	Delta
FXYD2	Delta
NPTX2	Delta
Delta	cells
UCP2	Delta
LEPR	Delta
BAIAP3	Delta
Delta	cells
CASR	Delta
BCHE	Delta
GABRB3	Delta
UNC5B	Delta
EDN3	Delta
PRG4	Delta
GHSR	Delta
FRZB	Delta
PCSK1	Delta
GABRG2	Delta
POU3F1	Delta
BHLHE41	Delta
EHF	Delta
LCORL	Delta
ETV1	Delta
IL6	Dendritic
CD86	Dendritic
CD83	Dendritic
Dendritic	cells
CR2	Dendritic
TLR9	Dendritic
Dendritic	cells
Dendritic	cells
LAMP3	Dendritic
Dendritic	cells
TREM2	Dendritic
FABP4	Dendritic
S100A9	Dendritic
ARG1	Dendritic
Dendritic	cells
Dendritic	cells
Dendritic	cells
Dendritic	cells
Dendritic	cells
CLEC10A	Dendritic
Dendritic	cells
Dendritic	cells
Dendritic	cells
DNASE1L3	Dendritic
CLEC9A	Dendritic
Dendritic	cells
ETV6	Dendritic
CD163	Dendritic
CXCR4	Dendritic
Dendritic	cells
VSIG4	Dendritic
NR4A3	Dendritic
CCR7	Dendritic
TRAF1	Dendritic
RELB	Dendritic
BATF3	Dendritic
CCL22	Dendritic
SLAMF7	Dendritic
XCR1	Dendritic
Dendritic	cells
CXCL16	Dendritic
SCIMP	Dendritic
FCGR2B	Dendritic
FGD2	Dendritic
RAB7B	Dendritic
NAAA	Dendritic
HCK	Dendritic
CD180	Dendritic
Dendritic	cells
HFE	Dendritic
CCR2	Dendritic
RYR1	Dendritic
ITGAE	Dendritic
SEMA4A	Dendritic
DPP4	Dendritic
SLAMF8	Dendritic
CXCR3	Dendritic
BTLA	Dendritic
FLT3	Dendritic
TLR3	Dendritic
Dendritic	cells
ITGAX	Dendritic
GPR132	Dendritic
ADAM19	Dendritic
Dendritic	cells
AP1S3	Dendritic
ASS1	Dendritic
ADGRG5	Dendritic
GPR68	Dendritic
Dendritic	cells
KIT	Dendritic
Dendritic	cells
KMO	Dendritic
P2RY10	Dendritic
RAB30	Dendritic
SEPT6	Dendritic
ZBTB46	Dendritic
S100A4	Dendritic
CLEC7A	Dendritic
AIF1	Dendritic
LST1	Dendritic
CTSS	Dendritic
Dendritic	cells
Dendritic	cells
IRF8	Dendritic
Dendritic	cells
ADGRE1	Dendritic
CCL17	Dendritic
CD14	Dendritic
CD207	Dendritic
CD8A	Dendritic
CX3CR1	Dendritic
Dendritic	cells
ITGAM	Dendritic
LY75	Dendritic
PDCD1LG2	Dendritic
PTPRC	Dendritic
SIRPA	Dendritic
Dendritic	cells
Dendritic	cells
Dendritic	cells
AXL	Dendritic
PPP1R14A	Dendritic
Dendritic	cells
CD22	Dendritic
DAB2	Dendritic
S100A8	Dendritic
VCAN	Dendritic
Dendritic	cells
ANXA1	Dendritic
FCER1A	Dendritic
Dendritic	cells
CADM1	Dendritic
CAMK2D	Dendritic
LGALS3	Dendritic
NAPSA	Dendritic
PLBD1	Dendritic
RNASE6	Dendritic
PLAC8	Dendritic
Dendritic	cells
Dendritic	cells
H2AFY	Dendritic
SLC11A1	Dendritic
PDPN	Dendritic
S100B	Dendritic
CD28	Dendritic
PPL	Dendritic
SLURP1	Dendritic
Dendritic	cells
Dendritic	cells
Dendritic	cells
Dendritic	cells
SERPINB9	Dendritic
CLDN8	Distal
SLC12A3	Distal
UMOD	Distal
JAG1	Distal
CALB1	Distal
PVALB	Distal
PGAM2	Distal
WNK4	Distal
SGMS2	Distal
SLC16A7	Distal
LHX1	Distal
ABCA13	Distal
Distal	tubule
EMX1	Distal
TRPM6	Distal
CWH43	Distal
TRPM7	Distal
UROC1	Distal
TFRC	Distal
Distal	tubule
TSC22D2	Distal
LARP1B	Distal
CLCNKB	Distal
Distal	tubule
KLHL3	Distal
KLK1	Distal
KCNJ1	Distal
HOXD8	Distal
KL	Distal
EGF	Distal
TMEM213	Distal
Distal	tubule
TMEM52B	Distal
Distal	tubule
DEFB1	Distal
FXYD2	Distal
USMG5	Distal
TRHDE	Distal
Distal	tubule
Distal	tubule
KCNJ16	Distal
RHCG	Distal
SOSTDC1	Distal
SCNN1A	Distal
VDR	Distal
WNK1	Distal
SLC8A1	Distal
AQP2	Distal
AVPR2	Distal
TH	Dopaminergic
SLC6A3	Dopaminergic
FOXA2	Dopaminergic
KCNJ6	Dopaminergic
NR4A2	Dopaminergic
LMX1B	Dopaminergic
CACNA2D2	Dopaminergic
CADPS2	Dopaminergic
CHRNA6	Dopaminergic
MAPK8IP2	Dopaminergic
NTN1	Dopaminergic
PRKCG	Dopaminergic
Dopaminergic	neurons
TENM1	Dopaminergic
ZIM3	Dopaminergic
DDC	Dopaminergic
SLC18A2	Dopaminergic
SLC18A3	Dopaminergic
NEUROD6	Dopaminergic
SMAD3	Dopaminergic
PITX3	Dopaminergic
CFTR	Ductal
HNF1B	Ductal
KRT20	Ductal
MUC1	Ductal
ONECUT1	Ductal
AMBP	Ductal
HHEX	Ductal
ANXA4	Ductal
SPP1	Ductal
PDX1	Ductal
Ductal	cells
CFB	Ductal
GDF15	Ductal
Ductal	cells
MMP7	Ductal
DEFB1	Ductal
SERPING1	Ductal
TSPAN8	Ductal
CLDN10	Ductal
SLPI	Ductal
SERPINA5	Ductal
PIGR	Ductal
CLDN1	Ductal
LGALS4	Ductal
PERP	Ductal
PDLIM3	Ductal
WFDC2	Ductal
SLC3A1	Ductal
AQP1	Ductal
ALDH1A3	Ductal
VTCN1	Ductal
KRT19	Ductal
TFF1	Ductal
TFF2	Ductal
KRT7	Ductal
CLDN4	Ductal
LAMB3	Ductal
TACSTD2	Ductal
CCL2	Ductal
Ductal	cells
CXCL2	Ductal
CTSH	Ductal
S100A10	Ductal
MYC	Embryonic
FOXD3	Embryonic
POU5F1	Embryonic
FUT4	Embryonic
Embryonic	stem
ITGA4	Embryonic
CDH1	Embryonic
ABCG2	Embryonic
PODXL	Embryonic
Embryonic	stem
ZIC1	Embryonic
PRDM5	Embryonic
ANO6	Embryonic
CDK8	Embryonic
SLC46A2	Embryonic
Embryonic	stem
ZSCAN10	Embryonic
KCNIP3	Embryonic
PCGF2	Embryonic
NANOG	Embryonic
GAL	Embryonic
PITX2	Embryonic
BCL3	Embryonic
SALL4	Embryonic
Embryonic	stem
TDGF1	Embryonic
HOXB5	Embryonic
SUMO2	Embryonic
BNIP3	Embryonic
GJC1	Embryonic
TRIM6	Embryonic
PUM2	Embryonic
GJB4	Embryonic
SOX15	Embryonic
UTF1	Embryonic
GJB1	Embryonic
LMNA	Embryonic
FBXO15	Embryonic
PML	Embryonic
THY1	Embryonic
KIT	Embryonic
EPCAM	Embryonic
CD9	Embryonic
ITGB1	Embryonic
Embryonic	stem
PROM1	Embryonic
PECAM1	Embryonic
ITGA6	Embryonic
FZD1	Embryonic
Embryonic	stem
SOX2	Embryonic
KLF4	Embryonic
ZFP42	Embryonic
ZFX	Embryonic
TAF8	Embryonic
HMGA2	Embryonic
NACC1	Embryonic
NR6A1	Embryonic
STAT3	Embryonic
LEF1	Embryonic
L1TD1	Embryonic
Embryonic	stem
GDF3	Embryonic
Embryonic	stem
DPPA4	Embryonic
DPPA2	Embryonic
DPPA3	Embryonic
SMAD1	Embryonic
SMAD5	Embryonic
SMAD9	Embryonic
SMAD4	Embryonic
SMAD2	Embryonic
SMAD3	Embryonic
CTNNB1	Embryonic
HHEX	Embryonic
HES1	Embryonic
ESRRB	Embryonic
DNMT3B	Embryonic
TRIM28	Embryonic
PIWIL1	Embryonic
PIWIL2	Embryonic
PIWIL4	Embryonic
LIFR	Embryonic
IL6ST	Embryonic
Embryonic	stem
PECAM1	Endothelial
ICAM1	Endothelial
ITGB3	Endothelial
SELE	Endothelial
VCAM1	Endothelial
MCAM	Endothelial
PROCR	Endothelial
TEK	Endothelial
FLT4	Endothelial
APLN	Endothelial
VWF	Endothelial
NOS3	Endothelial
THBD	Endothelial
PLVAP	Endothelial
ACKR1	Endothelial
SLCO1C1	Endothelial
TMEM100	Endothelial
ADGRF5	Endothelial
Endothelial	cells
ABCG2	Endothelial
PODXL	Endothelial
NOSTRIN	Endothelial
MFSD2A	Endothelial
ACVRL1	Endothelial
AQP1	Endothelial
MYLK	Endothelial
RASIP1	Endothelial
FLI1	Endothelial
TIE1	Endothelial
APLNR	Endothelial
NRP2	Endothelial
ADAMTS1	Endothelial
RPRM	Endothelial
FABP4	Endothelial
GPIHBP1	Endothelial
FHL2	Endothelial
LOX	Endothelial
KLK1	Endothelial
ADORA2A	Endothelial
ARAP3	Endothelial
ARHGEF15	Endothelial
CARD10	Endothelial
CLEC14A	Endothelial
DLL4	Endothelial
ESM1	Endothelial
Endothelial	cells
GIMAP5	Endothelial
GJA4	Endothelial
MMRN2	Endothelial
NOTCH4	Endothelial
NPR1	Endothelial
PRKCH	Endothelial
RASGRP3	Endothelial
ROBO4	Endothelial
SCARF1	Endothelial
SOX18	Endothelial
SOX7	Endothelial
SPNS2	Endothelial
THSD1	Endothelial
APOLD1	Endothelial
EMP1	Endothelial
CD36	Endothelial
RNASE1	Endothelial
CTGF	Endothelial
HYAL2	Endothelial
CLEC4G	Endothelial
GPR182	Endothelial
F8	Endothelial
RBP7	Endothelial
CALCRL	Endothelial
FOXF1	Endothelial
CASZ1	Endothelial
AQP7	Endothelial
TCF15	Endothelial
CD300LG	Endothelial
BTNL9	Endothelial
MEOX2	Endothelial
ERG	Endothelial
HEXIM1	Endothelial
GLYCAM1	Endothelial
CD55	Endothelial
MMRN1	Endothelial
C7	Endothelial
RAMP3	Endothelial
VEGFC	Endothelial
GJA5	Endothelial
HEY1	Endothelial
RND1	Endothelial
BDP1	Endothelial
CD46	Endothelial
MEOX1	Endothelial
CCL19	Endothelial
Endothelial	cells
MADCAM1	Endothelial
CYP1B1	Endothelial
IRX3	Endothelial
BIRC2	Endothelial
LYVE1	Endothelial
SEMA3D	Endothelial
Endothelial	cells
EMCN	Endothelial
WFDC1	Endothelial
ADGRL4	Endothelial
VWA1	Endothelial
ECE1	Endothelial
PTPRB	Endothelial
CLDN5	Endothelial
Endothelial	cells
Endothelial	cells
TBX1	Endothelial
SEMA7A	Endothelial
FOXF2	Endothelial
PDGFB	Endothelial
ECSCR	Endothelial
ELK3	Endothelial
CDH5	Endothelial
PLEC	Endothelial
STAB1	Endothelial
TGFBR2	Endothelial
CD93	Endothelial
CXCL1	Endothelial
Endothelial	cells
RGS5	Endothelial
SLC7A5	Endothelial
ENG	Endothelial
KDR	Endothelial
SLC2A1	Endothelial
EGFL7	Endothelial
FLT1	Endothelial
EPAS1	Endothelial
EDNRB	Endothelial
KCNJ8	Endothelial
CD82	Endothelial
CHST1	Endothelial
PLAC8	Endothelial
TSPAN8	Endothelial
ETS1	Endothelial
CD34	Endothelial
PDPN	Endothelial
PROX1	Endothelial
EHD3	Endothelial
SRGN	Endothelial
S100A10	Endothelial
CLIC4	Endothelial
Endothelial	cells
USHBP1	Endothelial
MYF6	Endothelial
OIT3	Endothelial
IL1A	Endothelial
BMP2	Endothelial
C1QTNF1	Endothelial
PCDH12	Endothelial
DPP4	Endothelial
IGFBP7	Endothelial
PALMD	Endothelial
POSTN	Endothelial
BMX	Endothelial
SLC38A5	Endothelial
XDH	Endothelial
SPARC	Endothelial
MGLL	Endothelial
SLC9A3R2	Endothelial
RGCC	Endothelial
ICAM2	Endothelial
MGP	Endothelial
SPARCL1	Endothelial
TM4SF1	Endothelial
ID1	Endothelial
Endothelial	cells
CD9	Endothelial
SRPX	Endothelial
ID3	Endothelial
CAV1	Endothelial
GNG11	Endothelial
HSPG2	Endothelial
Endothelial	cells
CLEC1B	Endothelial
Endothelial	cells
S100A13	Endothelial
Endothelial	cells
CRHBP	Endothelial
IFI27	Endothelial
Endothelial	cells
SGK1	Endothelial
DNASE1L3	Endothelial
LIFR	Endothelial
Endothelial	cells
CDKN1C	Endothelial
INMT	Endothelial
PTGDS	Endothelial
TIMP3	Endothelial
GPM6A	Endothelial
FAM167B	Endothelial
LTC4S	Endothelial
STAB2	Endothelial
ITGA5	Endothelial
TMTC2	Endothelial
NR1D1	Endothelial
HFE	Endothelial
PKN3	Endothelial
SULT1A1	Endothelial
TMTC1	Endothelial
SHE	Endothelial
ITGBL1	Endothelial
GRASP	Endothelial
ENPP4	Endothelial
ARHGEF15	Endothelial
TMEM184B	Endothelial
FOXC2	Endothelial
DHH	Endothelial
DENND5B	Endothelial
KAZALD1	Endothelial
FGD5	Endothelial
FAS	Endothelial
ITGB4	Endothelial
EMILIN1	Endothelial
MICAL2	Endothelial
NKX2-3	Endothelial
STXBP6	Endothelial
SYNPO	Endothelial
ATP2A3	Endothelial
GIMAP4	Endothelial
Endothelial	cells
CMKLR1	Endothelial
ITGA9	Endothelial
SMAD6	Endothelial
EFNB2	Endothelial
LOX	Endothelial
FZD4	Endothelial
NTN1	Endothelial
NPR1	Endothelial
ARL4D	Endothelial
HEY2	Endothelial
HYAL2	Endothelial
FKBP7	Endothelial
NXN	Endothelial
PDIA5	Endothelial
APH1B	Endothelial
Endothelial	cells
SOX18	Endothelial
WBP1L	Endothelial
LAMB2	Endothelial
CHST12	Endothelial
P3H3	Endothelial
KLK10	Endothelial
MALL	Endothelial
CLEC1A	Endothelial
MARVELD1	Endothelial
FAM198B	Endothelial
THBD	Endothelial
NOS3	Endothelial
TNS2	Endothelial
ATL2	Endothelial
ACKR3	Endothelial
COL4A4	Endothelial
CALCRL	Endothelial
Endothelial	cells
COL4A3	Endothelial
PER3	Endothelial
STAB1	Endothelial
CYP1B1	Endothelial
EPHX2	Endothelial
KLK8	Endothelial
Endothelial	cells
BACE2	Endothelial
BMP6	Endothelial
Endothelial	cells
Endothelial	cells
SULF1	Endothelial
CPQ	Endothelial
PI16	Endothelial
AMIGO2	Endothelial
PTPRJ	Endothelial
TRIM47	Endothelial
LMCD1	Endothelial
PDE3A	Endothelial
BMX	Endothelial
PROCR	Endothelial
SMOC1	Endothelial
CRACR2B	Endothelial
GJA5	Endothelial
BMP4	Endothelial
SOD3	Endothelial
ADH7	Endothelial
PCOLCE2	Endothelial
PTGIS	Endothelial
ACE	Endothelial
GXYLT2	Endothelial
Endothelial	cells
CYTL1	Endothelial
EHD3	Endothelial
ABCG2	Endothelial
GFAP	Endothelial
GPR37L1	Endothelial
SLC13A4	Endothelial
SLC19A1	Endothelial
SLC23A2	Endothelial
SLC38A3	Endothelial
TNFRSF19	Endothelial
TNFRSF21	Endothelial
FOXF2	Endothelial
FOXL2	Endothelial
FOXQ1	Endothelial
LEF1	Endothelial
PPARD	Endothelial
Endothelial	cells
ZIC3	Endothelial
ALCAM	Endothelial
GFRA3	Enteric
MPZ	Enteric
LGI4	Enteric
RGS16	Enteric
ALDH1A1	Enteric
L1CAM	Enteric
CXCL14	Enteric
DKK3	Enteric
INTS6	Enteric
DHRS3	Enteric
SOX10	Enteric
GFAP	Enteric
S100B	Enteric
NOS2	Enteric
FOXD3	Enteric
ALDH1A3	Enteric
SLC18A2	Enteric
HIVEP3	Enteric
PLEKHA5	Enteric
IGF2BP3	Enteric
ARHGAP26	Enteric
TTBK2	Enteric
ASTN1	Enteric
CACNA1E	Enteric
TUB	Enteric
FILIP1	Enteric
GCNT2	Enteric
VEZT	Enteric
RET	Enteric
AHDC1	Enteric
MAP6	Enteric
RGMB	Enteric
FBXO7	Enteric
PPP2R5B	Enteric
SNX21	Enteric
FSTL5	Enteric
LIX1	Enteric
RGS3	Enteric
CYTH3	Enteric
TSHZ1	Enteric
STXBP5	Enteric
ATF5	Enteric
DMKN	Enteric
CACNA1B	Enteric
PIK3CA	Enteric
ZDHHC2	Enteric
MYL1	Enteric
EML5	Enteric
MFSD6	Enteric
SCN7A	Enteric
ARHGEF28	Enteric
HAND2	Enteric
VSTM2L	Enteric
FAM19A5	Enteric
EFNA5	Enteric
HOXB4	Enteric
TLX2	Enteric
GOLGA7B	Enteric
SLC18A3	Enteric
TOX	Enteric
CELF6	Enteric
GPR22	Enteric
PLCE1	Enteric
CYB561	Enteric
GFRA2	Enteric
FLOT2	Enteric
SLC7A14	Enteric
JPH3	Enteric
CASZ1	Enteric
TAC1	Enteric
SCN3A	Enteric
CHRNA3	Enteric
PARVA	Enteric
SLC10A4	Enteric
TM4SF4	Enteric
FAM19A1	Enteric
SLC5A7	Enteric
PHOX2B	Enteric
PIRT	Enteric
HOXB5	Enteric
HOXA5	Enteric
GAL	Enteric
CARTPT	Enteric
NMU	Enteric
VIP	Enteric
CCK	Enteric
REG4	Enterochromaffin
AFP	Enterochromaffin
SLC18A1	Enterochromaffin
LMX1A	Enterochromaffin
TRPA1	Enterochromaffin
FGF1	Enterochromaffin
PIEZO2	Enterochromaffin
ADGRG4	Enterochromaffin
ADM	Enterochromaffin
TPH1	Enterochromaffin
CRH	Enterochromaffin
GJB1	Enterochromaffin
GATA4	Enterocytes
LYPD8	Enterocytes
NLRP6	Enterocytes
KRT20	Enterocytes
MYO1A	Enterocytes
PPARG	Enterocytes
SLC15A1	Enterocytes
FLOT2	Enterocytes
APOBEC1	Enterocytes
PLIN3	Enterocytes
SLC10A2	Enterocytes
SLC40A1	Enterocytes
SLC5A1	Enterocytes
Enterocytes	KIAA1140|TTC7
NPC1L1	Enterocytes
FABP1	Enterocytes
ANPEP	Enterocytes
Enterocytes	Car1
CPS1	Enterocytes
DPP4	Enterocytes
SLC2A5	Enterocytes
ALPI	Enterocytes
FABP2	Enterocytes
LCT	Enterocytes
Enterocytes	NA
VIL1	Enterocytes
Enterocytes	NA
FUOM	Enterocytes
FAHD1	Enterocytes
OTC	Enterocytes
CDH17	Enterocytes
KHK	Enterocytes
ABHD11	Enterocytes
Enterocytes	NA
VDR	Enterocytes
EHF	Enterocytes
CDC42EP5	Enterocytes
Enterocytes	NA
CASP6	Enterocytes
HNF4A	Enterocytes
AQP1	Enterocytes
TMEM45B	Enterocytes
RGMB	Enterocytes
PDHA1	Enterocytes
CDO1	Enterocytes
ELF3	Enterocytes
KRTCAP3	Enterocytes
DEGS2	Enterocytes
TMC4	Enterocytes
Enterocytes	NA
PPP1R14D	Enterocytes
TM4SF5	Enterocytes
RNF186	Enterocytes
CEACAM1	Enterocytes
KLF5	Enterocytes
CDX1	Enterocytes
CDX2	Enterocytes
CLDN15	Enterocytes
ASCL2	Enterocytes
SMOC2	Enterocytes
PRR15L	Enterocytes
FBP2	Enterocytes
SDSL	Enterocytes
Enterocytes	NA
FERMT1	Enterocytes
ALDOB	Enterocytes
MUC13	Enterocytes
PHGR1	Enterocytes
PRAP1	Enterocytes
CCL25	Enterocytes
LGALS2	Enterocytes
SPON2	Enterocytes
ASPN	Enterocytes
CTRB1	Enterocytes
CD55	Enterocytes
CDH19	Enterocytes
SLC35F1	Enterocytes
G0S2	Enterocytes
GULP1	Enterocytes
NKD2	Enterocytes
COL18A1	Enterocytes
SOX10	Enterocytes
COL20A1	Enterocytes
PMEPA1	Enterocytes
GFRA2	Enterocytes
ART3	Enterocytes
SLC26A2	Enterocytes
Enterocytes	NA
Enterocytes	NA
Enterocytes	NA
PRSS2	Enterocytes
L1CAM	Enterocytes
SLC11A2	Enterocytes
SLC26A3	Enterocytes
APOA1	Enterocytes
APOA4	Enterocytes
CBR1	Enterocytes
EPHX2	Enterocytes
GSTM3	Enterocytes
Enterocytes	NA
CREB3L3	Enterocytes
MEP1A	Enterocytes
Enterocytes	NA
Enterocytes	NA
Enterocytes	NA
FABP6	Enterocytes
RBP2	Enterocytes
Enterocytes	CYP3A3
APOB	Enterocytes
MTTP	Enterocytes
SLC2A2	Enterocytes
APOC3	Enterocytes
Enterocytes	NA
CD36	Enterocytes
REG3A	Enterocytes
ISX	Enterocytes
Enterocytes	NA
S100G	Enterocytes
Enterocytes	VMD2L2
SLC28A1	Enterocytes
SLC28A2	Enterocytes
SLC30A10	Enterocytes
SLC51B	Enterocytes
VNN1	Enterocytes
SLC23A1	Enterocytes
TREH	Enterocytes
ABCC2	Enterocytes
ABCG5	Enterocytes
Enterocytes	FLJ10060|GPCR42|hRFT1|RFVT1|GPR172B
Enterocytes	CP37|P450-HFLA
DMBT1	Enterocytes
ABCG8	Enterocytes
PLIN2	Enterocytes
GSTA1	Enterocytes
CYBRD1	Enterocytes
ABCG2	Enterocytes
NR1H4	Enterocytes
DAB1	Enterocytes
TM6SF2	Enterocytes
NR5A2	Enterocytes
PDZK1	Enterocytes
ACSL5	Enterocytes
AQP11	Enterocytes
AQP7	Enterocytes
AQP8	Enterocytes
HMOX1	Enterocytes
SLC39A5	Enterocytes
SLC51A	Enterocytes
TRPM6	Enterocytes
MOGAT2	Enterocytes
GLS	Enterocytes
MAOA	Enterocytes
DGAT1	Enterocytes
DGAT2	Enterocytes
NPSR1	Enteroendocrine
FFAR3	Enteroendocrine
SCN3A	Enteroendocrine
NEUROG3	Enteroendocrine
FFAR1	Enteroendocrine
ARX	Enteroendocrine
NKX2-2	Enteroendocrine
SCT	Enteroendocrine
CCK	Enteroendocrine
GFRA3	Enteroendocrine
VWA5B2	Enteroendocrine
NEUROD1	Enteroendocrine
SCGN	Enteroendocrine
PCSK1	Enteroendocrine
ISL1	Enteroendocrine
FABP5	Enteroendocrine
TAC1	Enteroendocrine
RIMBP2	Enteroendocrine
PAX6	Enteroendocrine
GIP	Enteroendocrine
GLP1R	Enteroendocrine
PYY	Enteroendocrine
GLP2R	Enteroendocrine
GAST	Enteroendocrine
NTS	Enteroendocrine
SST	Enteroendocrine
Enteroendocrine	cells
GPR119	Enteroendocrine
GCG	Enteroendocrine
CHGB	Enteroendocrine
CPE	Enteroendocrine
GAL	Enteroendocrine
NUCB2	Enteroendocrine
IAPP	Enteroendocrine
GHRL	Enteroendocrine
CHGA	Enteroendocrine
TRPA1	Enteroendocrine
ENPP2	Enteroendocrine
AFP	Enteroendocrine
VEGFA	Enteroendocrine
FFAR4	Enteroendocrine
MC4R	Enteroendocrine
INSL5	Enteroendocrine
SSTR2	Enteroendocrine
ALCAM	Enteroendocrine
TAS1R2	Enteroendocrine
TAS1R3	Enteroendocrine
GNAT3	Enteroendocrine
C3AR1	Eosinophils
FUT4	Eosinophils
Eosinophils	CLEC4J|CD23|CD23A|FCE2
C5AR1	Eosinophils
CXCR3	Eosinophils
CCR1	Eosinophils
CCR3	Eosinophils
CD244	Eosinophils
PTGDR2	Eosinophils
S100A9	Eosinophils
Eosinophils	SIGLEC-8|SAF2|SIGLEC8L|MGC59785
Eosinophils	SIGLEC-10|SLG2|PRO940|MGC126774
PGLYRP1	Eosinophils
LTC4S	Eosinophils
Eosinophils	NA
Eosinophils	NA
EPX	Eosinophils
CD69	Eosinophils
Eosinophils	ECP|RAF1|RNS3
Eosinophils	EDN|RAF3|RNS2
IL5	Eosinophils
PRG2	Eosinophils
PRG3	Eosinophils
CPA3	Eosinophils
IKZF2	Eosinophils
CCL11	Eosinophils
CCL5	Eosinophils
CSF2	Eosinophils
IL5RA	Eosinophils
Eosinophils	NA
FOXJ1	Ependymal
TRIM71	Ependymal
SIX3	Ependymal
USP18	Ependymal
Ependymal	cells
AQP4	Ependymal
CELSR2	Ependymal
AQP1	Ependymal
GFAP	Ependymal
ENKUR	Ependymal
FAM216B	Ependymal
KRT15	Ependymal
CATIP	Ependymal
DNAH12	Ependymal
FAM166B	Ependymal
IQCG	Ependymal
SPEF2	Ependymal
Ependymal	cells
MYO16	Ependymal
ODF3B	Ependymal
PLXNB2	Ependymal
TEKT1	Ependymal
CHEK2	Ependymal
CROCC	Ependymal
NME9	Ependymal
CFAP126	Ependymal
MEIG1	Ependymal
HSPA2	Ependymal
CFAP65	Ependymal
LRRC23	Ependymal
TEKT4	Ependymal
CALML4	Ependymal
PIFO	Ependymal
CRYGN	Ependymal
HDC	Ependymal
Ependymal	cells
PCP4L1	Ependymal
DYNLRB2	Ependymal
TMEM107	Ependymal
RIIAD1	Ependymal
TMEM212	Ependymal
RSPH1	Ependymal
CCDC153	Ependymal
S100B	Ependymal
AK7	Ependymal
RARRES2	Ependymal
PVALB	Ependymal
ANGPTL2	Ependymal
CFAP54	Ependymal
STOML3	Ependymal
PLTP	Ependymal
SSPO	Ependymal
EFNB3	Ependymal
MYB	Ependymal
RFX2	Ependymal
ZMYND10	Ependymal
AK8	Ependymal
CFAP44	Ependymal
TM4SF1	Ependymal
NANOG	Epiblast
POU5F1	Epiblast
ERAS	Epiblast
CDH1	Epiblast
EPCAM	Epiblast
CLDN6	Epiblast
CLDN7	Epiblast
Epiblast	cells
SLC35D3	Epiblast
TDGF1	Epiblast
CXCL12	Epiblast
SOX11	Epiblast
LEF1	Epiblast
CRMP1	Epiblast
DPYSL5	Epiblast
BCL11A	Epiblast
INA	Epiblast
MFAP2	Epiblast
Epithelial	cells
CEACAM1	Epithelial
ST6GAL1	Epithelial
ITGB4	Epithelial
IL1R1	Epithelial
PROM1	Epithelial
CDH1	Epithelial
KRT1	Epithelial
KRT7	Epithelial
MUC1	Epithelial
ICAM1	Epithelial
KRT14	Epithelial
KRT5	Epithelial
ITGAL	Epithelial
CD2	Epithelial
Epithelial	cells
ITGA5	Epithelial
ITGA4	Epithelial
ITGA2	Epithelial
Epithelial	cells
KRT16	Epithelial
SCNN1A	Epithelial
KRT15	Epithelial
ITGA1	Epithelial
KRT2	Epithelial
Epithelial	cells
SCNN1B	Epithelial
Epithelial	cells
SCNN1G	Epithelial
Epithelial	cells
BOK	Epithelial
NKD1	Epithelial
FZD6	Epithelial
DKK3	Epithelial
NRP2	Epithelial
Epithelial	cells
SFRP5	Epithelial
RAI14	Epithelial
DEFB1	Epithelial
KLK1	Epithelial
AGR2	Epithelial
APOA1	Epithelial
GPA33	Epithelial
ANPEP	Epithelial
Epithelial	cells
CRYBA1	Epithelial
BMI1	Epithelial
BRCA1	Epithelial
MUC16	Epithelial
CEACAM5	Epithelial
CTSE	Epithelial
SCGB1A1	Epithelial
Epithelial	cells
EXO1	Epithelial
FOXA1	Epithelial
GABRP	Epithelial
GGT1	Epithelial
SFN	Epithelial
KRT13	Epithelial
LTF	Epithelial
SLC46A2	Epithelial
